loja_id,loja,produto_id,produto,marca,categoria,grupo,quantidade_minima,quantidade
3,AUTORIZADA ATACADO,88a3bb99-309d-430c-9189-61dc08377a6d,FERRAMENTA FIO JUMP FX-T9 MECHANIC,MECHANIC,"","",0,2
3,AUTORIZADA ATACADO,f1a3d95f-4c18-4c55-a4f6-3da3c373daf2,FERRAMENTA FITA ALUMINIO TERMICA 20MM WYLIE 320,WYLIE,"","",0,6
3,AUTORIZADA ATACADO,b9536ab6-abd4-4362-97cf-7d058ee88082,FERRAMENTA FITA ALUMINIO TERMICA 50MM WYLIE 321,WYLIE,"","",0,3
3,AUTORIZADA ATACADO,147c1add-21e4-404f-81f7-26e79299457e,FERRAMENTA FITA KAPTON 15MM COLORIDO,WYLIE,"","",0,3
3,AUTORIZADA ATACADO,8e11792a-81db-4865-a12c-031b0b733f6d,FERRAMENTA FITA TEFLON 10MM WL-318,WYLIE,"","",0,2
3,AUTORIZADA ATACADO,2f460c98-e31d-4626-a860-382a2830fae6,FERRAMENTA FITA TEFLON 15MM WL-319,WYLIE,"","",0,5
3,AUTORIZADA ATACADO,c87d3cb9-d2f4-435c-b0c3-9b0139e4853f,FERRAMENTA FLUXO DE SOLDA 223 BRANCA 10CC YAXUN,YAXUN,"","",0,1
3,AUTORIZADA ATACADO,5d90e74a-495b-46b4-b745-68ed2c5002c7,FERRAMENTA FLUXO DE SOLDA EM PASTA 80G WYLIE ZJ-18,WYLIE,"","",0,1
3,AUTORIZADA ATACADO,ead24cbc-1d4e-445e-a559-491a39957a71,FERRAMENTA FLUXO DE SOLDA PASTOSO 559 10CC WYLIE WL-559,WYLIE,"","",0,6
3,AUTORIZADA ATACADO,0e683af5-e5c5-4e65-b4ff-ebad9e40fe87,FERRAMENTA FLUXO DE SOLDA WYLIE GT 559 AZUL,WYLIE ,"","",0,1
3,AUTORIZADA ATACADO,117b6b90-21a0-4cc9-ac91-8e20c5f4141b,FERRAMENTA FLUXO PASTOSO AMOE M52 19G COM SERINGA,"","","",0,4
3,AUTORIZADA ATACADO,ccef65ad-252c-48ac-a469-94efe098a6ea,FERRAMENTA GARRAFA AGULHA 50ML,WYLIE,"","",0,4
3,AUTORIZADA ATACADO,73372e26-c334-44df-b7f5-f242924179df,FERRAMENTA GARRAFA ALCOOL 100ML WYLIE WL-043,WYLIE,"","",0,4
