loja_id,loja,produto_id,produto,marca,categoria,grupo,quantidade_minima,quantidade
3,AUTORIZADA ATACADO,71b298a5-21e8-41dc-b6bf-c5c9cb095c67,TAMPA IPHONE 11 PRETA,APPLE,"","",0,22
3,AUTORIZADA ATACADO,397242e7-dcd9-45d7-98b0-a96a24aa9771,TAMPA IPHONE 12 BRANCA,APPLE,"","",0,22
3,AUTORIZADA ATACADO,99187b3f-2d18-42f0-8e81-b0bc5bc683d8,TOUCH APPLE WATCH S4 40MM PRETA,APPLE,"","",0,22
3,AUTORIZADA ATACADO,e8808df6-f134-42d7-ac4e-940cd8c309ae,FERRAMENTA FIO DE ACO 0.05,"","","",0,21
3,AUTORIZADA ATACADO,16222fc1-6299-473a-b553-30e2c34c9ce0,BATERIA SAMSUNG A42/ A52/ A52S/ S20 FE BG781 SVC ORIGINAL,"","","",0,20
3,AUTORIZADA ATACADO,e8f626aa-67b7-4a94-b5c2-e16e17b4081d,FERRAMENTA PACOTE DE LIGA,"","","",0,20
3,AUTORIZADA ATACADO,1d4344b3-360d-4e71-8b37-a101a8af8fc1,FERRAMENTA PACOTE LAMINA BISTURI FACA,"","","",0,20
3,AUTORIZADA ATACADO,4a7fd6c3-d090-46e0-8240-44e35f1ede15,FLEX AURICULAR ORIGINAL IPHONE 11 (CAIXINHA),APPLE,"","",0,20
3,AUTORIZADA ATACADO,52f74292-0fc4-4429-87dc-3689e6622910,TAMPA IPHONE 14 PRO ROXA,APPLE,"","",0,20
3,AUTORIZADA ATACADO,3e1c7923-95a8-4b0b-836c-4d9279fb195a,TOUCH APPLE WATCH S4 44MM PRETA,APPLE,"","",0,20
3,AUTORIZADA ATACADO,faacc270-d9dc-4205-932f-40a56956e96a,VIDRO APPLE WATCH S7/S8/S9 45MM PRETA,APPLE,"","",0,20
3,AUTORIZADA ATACADO,45562b16-2582-4885-85d5-8800dc691509,FERRAMENTA FIO DE ACO 0.035,"","","",0,19
3,AUTORIZADA ATACADO,467bba12-9727-4a99-b5df-0e65710c0cff,FLEX ALTO FALANTE IPAD 2,APPLE,"","",0,19
3,AUTORIZADA ATACADO,cc1a1ef0-7cb7-4289-a09a-4bc0522b17c4,OCA 7.5,"","","",0,19
3,AUTORIZADA ATACADO,d04a4cbd-975b-402b-8e1d-c921834a840c,TAG JC FACE ID IPHONE X,APPLE,"","",0,19
3,AUTORIZADA ATACADO,e2e9966e-a24e-4df0-90e3-557bd0337636,TAMPA IPHONE 14 PRO MAX DOURADA,APPLE,"","",0,19
3,AUTORIZADA ATACADO,32fa5e1c-7f00-4442-92f7-e7aa39048e78,TAMPA IPHONE 15 PRO AZUL,APPLE,"","",0,19
3,AUTORIZADA ATACADO,3252ae85-318c-4e78-b357-c4426ed15653,FLEX CONECTOR CARGA SAMSUNG A34 5G,SAMSUNG,"","",0,18
3,AUTORIZADA ATACADO,01902601-2700-4edb-9737-3f770d5bc567,FLEX CONECTOR CARGA USB SAMSUNG S20/S20 PLUS/S20 ULTRA,SAMSUNG,"","",0,18
3,AUTORIZADA ATACADO,86eab4a1-e5ca-46d5-9318-901d5e9c5e16,TAMPA IPHONE 11 PRO BRANCA,APPLE,"","",0,18
3,AUTORIZADA ATACADO,c1e8498e-29c4-46c0-aad8-44b5ef2b59e9,TAMPA IPHONE 16 PRO C/ARO DOURADA,APPLE,"","",0,18
